,Postcode,Borough,Neighbourhood,Longitude,Latitude
1,M1B,Scarborough,"Rouge, Malvern",-79.19435340000001,43.806686299999996
2,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",-79.16049709999999,43.7845351
3,M1E,Scarborough,"Guildwood, Morningside, West Hill",-79.1887115,43.7635726
4,M1G,Scarborough,Woburn,-79.21691740000001,43.7709921
5,M1H,Scarborough,Cedarbrae,-79.23947609999999,43.773136
6,M1J,Scarborough,Scarborough Village,-79.23947609999999,43.7447342
7,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",-79.26202940000002,43.7279292
8,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",-79.2845772,43.711111700000004
9,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",-79.23947609999999,43.716316
10,M1N,Scarborough,"Birch Cliff, Cliffside West",-79.2648481,43.692657000000004
11,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",-79.27330400000001,43.7574096
12,M1R,Scarborough,"Maryvale, Wexford",-79.2958491,43.750071500000004
13,M1S,Scarborough,Agincourt,-79.26202940000002,43.7942003
14,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",-79.3043021,43.7816375
15,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",-79.2845772,43.8152522
16,M1W,Scarborough,"L'Amoreaux West, Steeles West",-79.3183887,43.799525200000005
17,M1X,Scarborough,Upper Rouge,-79.20563609999999,43.836124700000006
18,M2H,North York,Hillcrest Village,-79.3634517,43.8037622
19,M2J,North York,"Fairview, Henry Farm, Oriole",-79.3465557,43.7785175
20,M2K,North York,Bayview Village,-79.385975,43.7869473
21,M2L,North York,"Silver Hills, York Mills",-79.37471409999999,43.7574902
22,M2M,North York,"Newtonbrook, Willowdale",-79.40849279999999,43.789053
23,M2N,North York,Willowdale South,-79.40849279999999,43.7701199
24,M2P,North York,York Mills West,-79.4000493,43.752758299999996
25,M2R,North York,Willowdale West,-79.4422593,43.7827364
26,M3A,North York,Parkwoods,-79.3296565,43.7532586
27,M3B,North York,Don Mills North,-79.352188,43.745905799999996
